Employee ID_recipient,Employee ID_adviser,go to reason,advice area count,energy level,Employment Type_recipient,Position Title_recipient,Date in service_recipient,On Site Frequency_recipient,Business Unit level 1_recipient,Business Unit level 2_recipient,Employment Type_adviser,Position Title_adviser,Date in service_adviser,On Site Frequency_adviser,Business Unit level 1_adviser,Business Unit level 2_adviser
3029869,2002956,"Delivering to
Customers",1,Goes up,Salaried,Workforce Analyst I,2013-03-05,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003137,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up sharply,Salaried,"Spvsr, Customer Service I",2013-03-04,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
2003173,3021660,"Navigating
Change,Technical
Expertise",2,Stays about the same,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Director, eCommerce",2022-05-09,Hybrid,Corporate,Engineering - Brand 2
3021784,2002680,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up sharply,Hourly,Customer Service Representative 3,2022-05-09,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,Collaborations Specialist I,2020-06-16,Hybrid,Brand 2,Marketing - Brand 2
3044041,2003115,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Social Media Specialist II,2024-04-08,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Social Media Specialist I,2021-03-01,Hybrid,Brand 2,Marketing - Brand 2
2003136,2002956,"Navigating
Change,Career
Development,Delivering to
Customers",3,Goes up,Hourly,Customer Service Representative 3,2021-02-22,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2002937,3034698,"Technical
Expertise",1,Goes up,Salaried,Sr. Software Development Engineer I,2016-06-23,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Software Development Engineer I,2023-07-10,Fully Remote,Corporate,Engineering - Brand 2
2002620,2003122,"Delivering to
Customers",1,Goes up sharply,Salaried,Sr. Graphic Designer I,2019-11-11,Hybrid,Brand 2,Marketing - Brand 2,Salaried,Graphic Designer II,2020-12-14,Hybrid,Brand 2,Marketing - Brand 2
2003171,2002956,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up sharply,Hourly,Customer Service Representative 4,2021-07-19,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
3029366,2002956,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Hourly,Customer Service Representative 3,2022-10-10,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2
2003209,3020739,"Navigating
Change,Career
Development",2,Goes up,Salaried,"Manager, Merchandising",2015-11-02,Hybrid,Brand 2,Product Merchandising - Brand 2,Salaried,"Manager, Product Sourcing",2022-03-28,Fully Remote,Brand 2,Product Merchandising - Brand 2
3029900,2002166,"Navigating
Change,Delivering to
Customers",2,Goes up sharply,Salaried,"Sr. Manager, Channel Marketing",2022-11-14,Fully Remote,Brand 2,Marketing - Brand 2,Salaried,Partner Marketing Specialist I,2014-09-29,Hybrid,Brand 2,Marketing - Brand 2
2002166,3029900,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers,Technical
Expertise",5,Goes up,Salaried,Partner Marketing Specialist I,2014-09-29,Hybrid,Brand 2,Marketing - Brand 2,Salaried,"Sr. Manager, Channel Marketing",2022-11-14,Fully Remote,Brand 2,Marketing - Brand 2
2003186,2002605,"Financial
Resources,Navigating
Change,Delivering to
Customers,Technical
Expertise",4,Goes up sharply,Salaried,Product Specialist II,2014-03-26,Hybrid,Corporate,Engineering - Brand 2,Salaried,Product Manager,2016-03-02,Hybrid,Corporate,Engineering - Brand 2
3004874,2002895,"Financial
Resources,Navigating
Change,Career
Development",3,Goes up,Hourly,Customer Service Representative 3,2022-09-12,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Spvsr, Customer Service I",2015-03-30,Hybrid,Brand 2,Customer Service - Brand 2
3038672,3042739,"Financial
Resources,Navigating
Change,Career
Development,Technical
Expertise",4,Goes up,Salaried,Sr. Data Engineer I,2023-09-18,Hybrid,Corporate,Engineering - Brand 2,Salaried,Sr. Principal Data Engineer,2024-01-16,Fully Remote,Corporate,Engineering - Brand 2
2002956,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Salaried,"Manager, Customer Service",2017-05-15,Hybrid,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
3029400,2003173,"Financial
Resources,Navigating
Change,Career
Development,Delivering to
Customers",4,Goes up,Hourly,Customer Service Representative 3,2022-10-17,Fully Remote,Brand 2,Customer Service - Brand 2,Salaried,"Sr. Manager, Customer Service",2014-03-24,Hybrid,Brand 2,Customer Service - Brand 2
