Employee ID_sender,Employee ID_receiver,relevanceScore,On Site Frequency_sender,Position Title_sender,Date in service_sender,Business Unit level 1_sender,Business Unit level 2_sender,On Site Frequency_receiver,Position Title_receiver,Date in service_receiver,Business Unit level 1_receiver,Business Unit level 2_receiver,Years in service_sender,Years in service_receiver
3007231,2003018,724.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2,3.42,9.45
3007231,2003155,675.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2,3.42,5.78
3007231,2003148,324.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,3.42,8.75
3007231,2003133,291.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2,3.42,12.16
3007231,3022260,285.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2,3.42,2.15
3007231,3042755,231.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2,3.42,0.6
3007231,3031509,221.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Fully Remote,Sr. Digital Marketing Specialist II,2022-12-05,Corporate,Marketing,3.42,1.69
3007231,2002643,162.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,3.42,3.28
3007231,2003109,68.0,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2,Fully Remote,Lead Customer Service Representative 5,2021-01-25,Brand 2,Customer Service - Brand 2,3.42,3.55
3044059,3031524,122.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,0.31,1.71
3044059,2003000,121.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2,0.31,11.51
3044059,3021660,65.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2,0.31,2.27
3044059,2002394,65.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2,0.31,9.43
3044059,3027478,64.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2,0.31,1.92
3044059,2002330,55.0,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2,Fully Remote,Product Manager,2017-06-19,Corporate,Technology,0.31,7.16
2003144,2003217,29.0,Hybrid,Principal Software Development Engineer,2014-06-23,Corporate,Engineering - Brand 2,Hybrid,Principal Software Development Engineer,2019-02-21,Corporate,Engineering - Brand 2,10.15,5.48
2003144,3031524,19.0,Hybrid,Principal Software Development Engineer,2014-06-23,Corporate,Engineering - Brand 2,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2,10.15,1.71
2003144,2003064,19.0,Hybrid,Principal Software Development Engineer,2014-06-23,Corporate,Engineering - Brand 2,Hybrid,Sr. Software Development Engineer I,2015-10-28,Corporate,Engineering - Brand 2,10.15,8.8
2003148,2002643,1426.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2,8.75,3.28
2003148,3040598,1054.0,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership,8.75,0.86
